ocs,wv0010,cec,Error,Latitude,cfvo,silt,Longitude,soc,wv1500,bdod,wv0033,clay,phh2o,sand,nitrogen,ocd
,,,No data available,13.2,,,78.3,,,,,,,,,
,,,No data available,13.2,,,78.4,,,,,,,,,
,,,No data available,13.2,,,78.5,,,,,,,,,
,,,No data available,13.2,,,78.6,,,,,,,,,
,,,No data available,13.2,,,78.7,,,,,,,,,
,,,No data available,13.2,,,78.8,,,,,,,,,
,,,No data available,13.2,,,78.9,,,,,,,,,
42,378,263,,13.2,136,289,79.0,245,176,144,303,301,67,410,204,254
,,,No data available,13.2,,,79.1,,,,,,,,,
,,,No data available,13.2,,,79.2,,,,,,,,,
,,,No data available,13.2,,,79.3,,,,,,,,,
,,,No data available,13.2,,,79.4,,,,,,,,,
,,,No data available,13.2,,,79.5,,,,,,,,,
,,,No data available,13.2,,,79.6,,,,,,,,,
,,,No data available,13.2,,,79.7,,,,,,,,,
,,,No data available,13.2,,,79.8,,,,,,,,,
40,380,251,,13.2,79,299,79.9,356,179,135,323,306,71,395,207,285
49,383,251,,13.2,44,302,80.0,268,176,135,326,317,65,381,257,292
,,,No data available,13.2,,,80.1,,,,,,,,,
,,,No data available,13.2,,,80.2,,,,,,,,,
,,,No data available,13.2,,,80.3,,,,,,,,,
,,,No data available,13.2,,,80.4,,,,,,,,,
,,,,13.2,,,80.5,,,,,,,,,
,,,,13.2,,,80.6,,,,,,,,,
,,,No data available,13.2,,,80.7,,,,,,,,,
,,,No data available,13.2,,,80.8,,,,,,,,,
,,,No data available,13.2,,,80.9,,,,,,,,,
,,,No data available,13.2,,,81.0,,,,,,,,,
,,,,13.2,,,81.1,,,,,,,,,
,,,No data available,13.2,,,81.2,,,,,,,,,
,,,No data available,13.2,,,81.3,,,,,,,,,
,,,No data available,13.2,,,81.4,,,,,,,,,
,,,No data available,13.2,,,81.5,,,,,,,,,
,,,No data available,13.2,,,81.6,,,,,,,,,
,,,No data available,13.2,,,81.7,,,,,,,,,
,,,No data available,13.2,,,81.8,,,,,,,,,
,,,No data available,13.2,,,81.9,,,,,,,,,
,,,No data available,13.2,,,82.0,,,,,,,,,
,,,,13.2,,,82.1,,,,,,,,,
,,,,13.2,,,82.2,,,,,,,,,
,,,No data available,13.2,,,82.3,,,,,,,,,
,,,No data available,13.2,,,82.4,,,,,,,,,
,,,No data available,13.2,,,82.5,,,,,,,,,
,,,No data available,13.2,,,82.6,,,,,,,,,
,,,,13.2,,,82.7,,,,,,,,,
,,,,13.2,,,82.8,,,,,,,,,
,,,No data available,13.2,,,82.9,,,,,,,,,
,,,No data available,13.2,,,83.0,,,,,,,,,
,,,No data available,13.2,,,83.1,,,,,,,,,
,,,,13.2,,,83.2,,,,,,,,,
,,,,13.2,,,83.3,,,,,,,,,
,,,No data available,13.2,,,83.4,,,,,,,,,
,,,No data available,13.2,,,83.5,,,,,,,,,
,,,No data available,13.2,,,83.6,,,,,,,,,
,,,No data available,13.2,,,83.7,,,,,,,,,
,,,,13.2,,,83.8,,,,,,,,,
,,,,13.2,,,83.9,,,,,,,,,
,,,,13.2,,,84.0,,,,,,,,,
,,,,13.2,,,84.1,,,,,,,,,
,,,,13.2,,,84.2,,,,,,,,,
,,,No data available,13.2,,,84.3,,,,,,,,,
,,,No data available,13.2,,,84.4,,,,,,,,,
,,,No data available,13.2,,,84.5,,,,,,,,,
,,,No data available,13.2,,,84.6,,,,,,,,,
,,,,13.2,,,84.7,,,,,,,,,
,,,,13.2,,,84.8,,,,,,,,,
,,,No data available,13.2,,,84.9,,,,,,,,,
,,,No data available,13.2,,,85.0,,,,,,,,,
,,,No data available,13.2,,,85.1,,,,,,,,,
,,,No data available,13.2,,,85.2,,,,,,,,,
,,,,13.2,,,85.3,,,,,,,,,
,,,No data available,13.2,,,85.4,,,,,,,,,
,,,No data available,13.2,,,85.5,,,,,,,,,
,,,No data available,13.2,,,85.6,,,,,,,,,
,,,No data available,13.2,,,85.7,,,,,,,,,
,,,No data available,13.2,,,85.8,,,,,,,,,
,,,,13.2,,,85.9,,,,,,,,,
,,,,13.2,,,86.0,,,,,,,,,
,,,,13.2,,,86.1,,,,,,,,,
,,,,13.2,,,86.2,,,,,,,,,
,,,,13.2,,,86.3,,,,,,,,,
,,,No data available,13.2,,,86.4,,,,,,,,,
,,,No data available,13.2,,,86.5,,,,,,,,,
,,,No data available,13.2,,,86.6,,,,,,,,,
,,,No data available,13.2,,,86.7,,,,,,,,,
,,,,13.2,,,86.8,,,,,,,,,
,,,No data available,13.2,,,86.9,,,,,,,,,
,,,No data available,13.2,,,87.0,,,,,,,,,
,,,No data available,13.2,,,87.1,,,,,,,,,
,,,No data available,13.2,,,87.2,,,,,,,,,
,,,,13.2,,,87.3,,,,,,,,,
,,,No data available,13.2,,,87.4,,,,,,,,,
,,,No data available,13.2,,,87.5,,,,,,,,,
,,,No data available,13.2,,,87.6,,,,,,,,,
,,,,13.2,,,87.7,,,,,,,,,
,,,,13.2,,,87.8,,,,,,,,,
,,,,13.2,,,87.9,,,,,,,,,
,,,,13.2,,,88.0,,,,,,,,,
,,,,13.2,,,88.1,,,,,,,,,
,,,No data available,13.2,,,88.2,,,,,,,,,
,,,No data available,13.2,,,88.3,,,,,,,,,
,,,No data available,13.2,,,88.4,,,,,,,,,
,,,No data available,13.2,,,88.5,,,,,,,,,
,,,,13.2,,,88.6,,,,,,,,,
,,,No data available,13.2,,,88.7,,,,,,,,,
,,,No data available,13.2,,,88.8,,,,,,,,,
,,,No data available,13.2,,,88.9,,,,,,,,,
,,,No data available,13.2,,,89.0,,,,,,,,,
,,,No data available,13.2,,,89.1,,,,,,,,,
,,,,13.2,,,89.2,,,,,,,,,
,,,,13.2,,,89.3,,,,,,,,,
,,,,13.2,,,89.4,,,,,,,,,
,,,,13.2,,,89.5,,,,,,,,,
,,,,13.2,,,89.6,,,,,,,,,
,,,,13.2,,,89.7,,,,,,,,,
,,,,13.2,,,89.8,,,,,,,,,
,,,,13.2,,,89.9,,,,,,,,,
,,,,13.2,,,90.0,,,,,,,,,
,,,,13.2,,,90.1,,,,,,,,,
,,,,13.2,,,90.2,,,,,,,,,
,,,,13.2,,,90.3,,,,,,,,,
,,,,13.2,,,90.4,,,,,,,,,
,,,,13.2,,,90.5,,,,,,,,,
,,,,13.2,,,90.6,,,,,,,,,
,,,,13.2,,,90.7,,,,,,,,,
,,,,13.2,,,90.8,,,,,,,,,
,,,,13.2,,,90.9,,,,,,,,,
,,,,13.2,,,91.0,,,,,,,,,
,,,,13.2,,,91.1,,,,,,,,,
,,,,13.2,,,91.2,,,,,,,,,
,,,,13.2,,,91.3,,,,,,,,,
,,,,13.2,,,91.4,,,,,,,,,
,,,,13.2,,,91.5,,,,,,,,,
,,,,13.2,,,91.6,,,,,,,,,
,,,,13.2,,,91.7,,,,,,,,,
,,,,13.2,,,91.8,,,,,,,,,
,,,,13.2,,,91.9,,,,,,,,,
,,,,13.2,,,92.0,,,,,,,,,
,,,,13.2,,,92.1,,,,,,,,,
,,,,13.2,,,92.2,,,,,,,,,
,,,,13.2,,,92.3,,,,,,,,,
,,,,13.2,,,92.4,,,,,,,,,
,,,,13.2,,,92.5,,,,,,,,,
,,,,13.2,,,92.6,,,,,,,,,
,,,,13.2,,,92.7,,,,,,,,,
,,,,13.2,,,92.8,,,,,,,,,
52,356,220,,13.2,156,302,92.9,415,199,127,338,295,57,403,320,396
68,359,242,,13.2,136,299,93.0,538,188,112,341,279,55,421,432,463
,,,,13.2,,,93.1,,,,,,,,,
,,,,13.2,,,93.2,,,,,,,,,
,,,,13.2,,,93.3,,,,,,,,,
,,,,13.2,,,93.4,,,,,,,,,
,,,,13.2,,,93.5,,,,,,,,,
,,,,13.2,,,93.6,,,,,,,,,
,,,,13.2,,,93.7,,,,,,,,,
,,,,13.2,,,93.8,,,,,,,,,
,,,,13.2,,,93.9,,,,,,,,,
,,,,13.2,,,94.0,,,,,,,,,
,,,,13.2,,,94.1,,,,,,,,,
,,,,13.2,,,94.2,,,,,,,,,
,,,,13.2,,,94.3,,,,,,,,,
,,,,13.2,,,94.4,,,,,,,,,
,,,,13.2,,,94.5,,,,,,,,,
,,,,13.2,,,94.6,,,,,,,,,
,,,,13.2,,,94.7,,,,,,,,,
,,,,13.2,,,94.8,,,,,,,,,
,,,,13.2,,,94.9,,,,,,,,,
,,,,13.2,,,95.0,,,,,,,,,
,,,,13.2,,,95.1,,,,,,,,,
,,,,13.2,,,95.2,,,,,,,,,
,,,,13.2,,,95.3,,,,,,,,,
,,,,13.2,,,95.4,,,,,,,,,
,,,,13.2,,,95.5,,,,,,,,,
,,,,13.2,,,95.6,,,,,,,,,
,,,,13.2,,,95.7,,,,,,,,,
,,,,13.2,,,95.8,,,,,,,,,
,,,,13.2,,,95.9,,,,,,,,,
,,,,13.2,,,96.0,,,,,,,,,
,,,,13.2,,,96.1,,,,,,,,,
,,,,13.2,,,96.2,,,,,,,,,
,,,,13.2,,,96.3,,,,,,,,,
,,,,13.2,,,96.4,,,,,,,,,
,,,,13.2,,,96.5,,,,,,,,,
,,,,13.2,,,96.6,,,,,,,,,
,,,,13.2,,,96.7,,,,,,,,,
,,,,13.2,,,96.8,,,,,,,,,
,,,,13.2,,,96.9,,,,,,,,,
,,,,13.2,,,97.0,,,,,,,,,
,,,,13.2,,,97.1,,,,,,,,,
,,,,13.2,,,97.2,,,,,,,,,
,,,,13.2,,,97.3,,,,,,,,,
,,,,13.2,,,97.4,,,,,,,,,
,,,,13.2,,,97.5,,,,,,,,,
,,,,13.2,,,97.6,,,,,,,,,
,,,,13.2,,,97.7,,,,,,,,,
,,,,13.2,,,97.8,,,,,,,,,
,,,,13.2,,,97.9,,,,,,,,,
,,,,13.2,,,98.0,,,,,,,,,
