Longitude,Latitude,Error
74.7,13.6,No data available
74.8,13.6,No data available
74.9,13.6,No data available
75,13.6,No data available
75.1,13.6,No data available
75.2,13.6,No data available
75.3,13.6,No data available
75.4,13.6,No data available
75.5,13.6,No data available
75.6,13.6,No data available
75.7,13.6,No data available
75.8,13.6,No data available
75.9,13.6,No data available
76,13.6,No data available
76.1,13.6,No data available
76.2,13.6,No data available
76.3,13.6,No data available
76.4,13.6,No data available
76.5,13.6,No data available
76.6,13.6,No data available
76.7,13.6,No data available
76.8,13.6,No data available
76.9,13.6,No data available
77,13.6,No data available
77.1,13.6,No data available
77.2,13.6,No data available
77.3,13.6,No data available
77.4,13.6,No data available
77.5,13.6,No data available
77.6,13.6,No data available
77.7,13.6,No data available
77.8,13.6,No data available
77.9,13.6,No data available
78,13.6,No data available
78.1,13.6,No data available
78.2,13.6,No data available
78.3,13.6,No data available
78.4,13.6,No data available
78.5,13.6,No data available
78.6,13.6,No data available
78.7,13.6,No data available
78.8,13.6,No data available
78.9,13.6,No data available
79,13.6,No data available
79.1,13.6,No data available
79.2,13.6,No data available
79.3,13.6,No data available
79.4,13.6,No data available
79.5,13.6,No data available
79.6,13.6,No data available
79.7,13.6,No data available
79.8,13.6,No data available
79.9,13.6,No data available
80,13.6,No data available
74.7,13.7,No data available
74.8,13.7,No data available
74.9,13.7,No data available
75,13.7,No data available
75.1,13.7,No data available
75.2,13.7,No data available
75.3,13.7,No data available
75.4,13.7,No data available
75.5,13.7,No data available
75.6,13.7,No data available
75.7,13.7,No data available
75.8,13.7,No data available
75.9,13.7,No data available
76,13.7,No data available
76.1,13.7,No data available
76.2,13.7,No data available
76.3,13.7,No data available
76.4,13.7,No data available
76.5,13.7,No data available
76.6,13.7,No data available
76.7,13.7,No data available
76.8,13.7,No data available
76.9,13.7,No data available
77,13.7,No data available
77.1,13.7,No data available
77.2,13.7,No data available
77.3,13.7,No data available
77.4,13.7,No data available
77.5,13.7,No data available
77.6,13.7,No data available
77.7,13.7,No data available
77.8,13.7,No data available
77.9,13.7,No data available
78,13.7,No data available
78.1,13.7,No data available
78.2,13.7,No data available
78.3,13.7,No data available
78.4,13.7,No data available
78.5,13.7,No data available
78.6,13.7,No data available
78.7,13.7,No data available
78.8,13.7,No data available
78.9,13.7,No data available
79,13.7,No data available
79.1,13.7,No data available
79.2,13.7,No data available
79.3,13.7,No data available
79.4,13.7,No data available
79.5,13.7,No data available
79.6,13.7,No data available
79.7,13.7,No data available
79.8,13.7,No data available
79.9,13.7,No data available
80,13.7,No data available
80.2,13.7,No data available
74.7,13.8,No data available
74.8,13.8,No data available
74.9,13.8,No data available
75,13.8,No data available
75.1,13.8,No data available
75.2,13.8,No data available
75.3,13.8,No data available
75.4,13.8,No data available
75.5,13.8,No data available
75.6,13.8,No data available
75.7,13.8,No data available
75.8,13.8,No data available
75.9,13.8,No data available
76,13.8,No data available
76.1,13.8,No data available
76.2,13.8,No data available
76.3,13.8,No data available
76.4,13.8,No data available
76.5,13.8,No data available
76.6,13.8,No data available
76.7,13.8,No data available
76.8,13.8,No data available
76.9,13.8,No data available
77,13.8,No data available
77.1,13.8,No data available
77.2,13.8,No data available
77.3,13.8,No data available
77.4,13.8,No data available
77.5,13.8,No data available
77.6,13.8,No data available
77.7,13.8,No data available
77.8,13.8,No data available
77.9,13.8,No data available
78,13.8,No data available
78.1,13.8,No data available
78.2,13.8,No data available
78.3,13.8,No data available
78.4,13.8,No data available
78.5,13.8,No data available
78.6,13.8,No data available
78.7,13.8,No data available
78.8,13.8,No data available
78.9,13.8,No data available
79,13.8,No data available
79.1,13.8,No data available
79.2,13.8,No data available
79.3,13.8,No data available
79.4,13.8,No data available
79.5,13.8,No data available
79.6,13.8,No data available
79.7,13.8,No data available
79.8,13.8,No data available
79.9,13.8,No data available
80,13.8,No data available
80.1,13.8,No data available
80.2,13.8,No data available
74.6,13.9,No data available
74.7,13.9,No data available
74.8,13.9,No data available
74.9,13.9,No data available
75,13.9,No data available
75.1,13.9,No data available
75.2,13.9,No data available
75.3,13.9,No data available
75.4,13.9,No data available
75.5,13.9,No data available
75.6,13.9,No data available
75.7,13.9,No data available
75.8,13.9,No data available
75.9,13.9,No data available
76,13.9,No data available
76.1,13.9,No data available
76.2,13.9,No data available
76.3,13.9,No data available
76.4,13.9,No data available
76.5,13.9,No data available
76.6,13.9,No data available
76.7,13.9,No data available
76.8,13.9,No data available
76.9,13.9,No data available
77,13.9,No data available
77.1,13.9,No data available
77.2,13.9,No data available
77.3,13.9,No data available
77.4,13.9,No data available
77.5,13.9,No data available
77.6,13.9,No data available
77.7,13.9,No data available
77.8,13.9,No data available
77.9,13.9,No data available
78,13.9,No data available
78.1,13.9,No data available
78.2,13.9,No data available
78.3,13.9,No data available
78.4,13.9,No data available
78.5,13.9,No data available
78.6,13.9,No data available
78.7,13.9,No data available
78.8,13.9,No data available
78.9,13.9,No data available
79,13.9,No data available
79.1,13.9,No data available
79.2,13.9,No data available
79.3,13.9,No data available
79.4,13.9,No data available
79.5,13.9,No data available
79.6,13.9,No data available
79.7,13.9,No data available
79.8,13.9,No data available
79.9,13.9,No data available
80,13.9,No data available
80.1,13.9,No data available
80.2,13.9,No data available
74.6,14,No data available
74.7,14,No data available
74.8,14,No data available
74.9,14,No data available
75,14,No data available
75.1,14,No data available
75.2,14,No data available
75.3,14,No data available
75.4,14,No data available
75.5,14,No data available
75.6,14,No data available
75.7,14,No data available
75.8,14,No data available
75.9,14,No data available
76,14,No data available
76.1,14,No data available
76.2,14,No data available
76.3,14,No data available
76.4,14,No data available
76.5,14,No data available
76.6,14,No data available
76.7,14,No data available
76.8,14,No data available
76.9,14,No data available
77,14,No data available
77.1,14,No data available
77.2,14,No data available
77.3,14,No data available
77.4,14,No data available
77.5,14,No data available
77.6,14,No data available
77.7,14,No data available
77.8,14,No data available
77.9,14,No data available
78,14,No data available
78.1,14,No data available
78.2,14,No data available
78.3,14,No data available
78.4,14,No data available
78.5,14,No data available
78.6,14,No data available
